ExperimentTrials,"View Trials, create new Trials, or add Trials from other Experiments to this Experiment",
ExperimentScreens,"View Screens, create new Screens, or add Screens from other Experiments to this Experiment",
ExperimentEnvironments,"View Environments, create new Environments, or add Environments from other Experiments to this Experiment",
ExperimentResponsiveObjects,"View Responsive Objects, create new Responsive Objects, or add Responsive Objects from other Experiments to this Experiment",
ExperimentScenescapes,"View Scenescapes, create new Scenescapes, or add Scenescapes from other Experiments to this Experiment",
ExperimentGlobalProperties,"View Global Properties, create new Global Properties, or add Global Properties from other Experiments to this Experiment",
ExperimentResponsiveObjectProperties,"View Responsive Object Properties, create new Responsive Object Properties, or add Responsive Object Properties from other Experiments to this Experiment",
~~~~~~~~~~~~~~~~~~~~~~~~~~,~~~~~~~~~~~~~~~~~~~~~~~~~~,
SESSION ELEMENTS,TOOLTIPS,
~~~~~~~~~~~~~~~~~~~~~~~~~~,~~~~~~~~~~~~~~~~~~~~~~~~~~,
session,Sequence Blocks to create an Experiment Session,
BlockList,List of Blocks in Session. Blocks are executed in the order they appear in the list.,
~~~~~~~~~~~~~~~~~~~~~~~~~~,~~~~~~~~~~~~~~~~~~~~~~~~~~,
BLOCK ELEMENTS,TOOLTIPS,
~~~~~~~~~~~~~~~~~~~~~~~~~~,~~~~~~~~~~~~~~~~~~~~~~~~~~,
block,Use Blocks to present Trials sequentially or randomly.,
TrialList,List of Trials in Block. Trials are executed in the order they appear in the list.,
BlockContingencyList,Contingencies are checked after the last Trial has completed in the Block. If there are no contingencies the next Block in the Session will begin.,
~~~~~~~~~~~~~~~~~~~~~~~~~~,~~~~~~~~~~~~~~~~~~~~~~~~~~,
TRIAL ELEMENTS,TOOLTIPS,
~~~~~~~~~~~~~~~~~~~~~~~~~~,~~~~~~~~~~~~~~~~~~~~~~~~~~,
trial,Use Trials to present Tasks sequentially or randomly and create performance criteria. ,
TrialElementList,List of Trials Elements (Screens/Environments) in the Trial. Trial Elements are executed in the order they appear in the list.,
TrialContingencyList,Contingencies are checked after the last Trial Element (Screen or Environment) has completed in the Trial. If there are no contingencies the next Trail in the Block will begin.,
~~~~~~~~~~~~~~~~~~~~~~~~~~,~~~~~~~~~~~~~~~~~~~~~~~~~~,
SCREEN ELEMENTS,TOOLTIPS,
~~~~~~~~~~~~~~~~~~~~~~~~~~,~~~~~~~~~~~~~~~~~~~~~~~~~~,
screen,Screens are used to create 2D stimulus presentation tasks or create Heads-up displays for 3D Tasks. ,
Canvas,Choose a solid color or image as the background for your Screen. Set the background color to transparent and add a Scenescape to present stimuli in front of a 3D scene. Use XR settings to customize how the Screen will appear in Virtual or Augmented Reality experiments.,
ScreenObjects,Add and arrange Text/Images/Videos/Buttons/Text Input/Range Slider/Checkboxes/Dropdown Menus/Color Wheel to your Screen,
Interactions,Remove or customize the mouse cursor. Customize the interaction ray for Virtual and Augmented Reality interactions,
EndConditions,End Conditions determine when the Screen/Environment will terminate. Set a timer or define multiple End Keys or Property Conditions that will end the Screen. Use the dropdown arrow beside an End Condition to change property values when the Condition is met. ,
~~~~~~~~~~~~~~,~~~~~~~~~~~~~,
DISPLAY,OPTIONS,
~~~~~~~~~~~~~~,~~~~~~~~~~~~~,
Background,Select a background type,
ScreenBackgroundColor,Choose the background color,
ScreenBackgroundImage,Choose the background image,
ScreenScenescape,Choose a Scenescape for the background,
ScreenPerspective,Choose a perspective for the Scenescape background,
xrDisplayType,Choose a XR display type,
planeDistance,Drag to specify the distance from the screen to your eyes,
virtualTestingRoom,Select a virtual testing room,
~~~~~~~~~~~~~~,~~~~~~~~~~~~~,
INTERACTION,OPTIONS,
~~~~~~~~~~~~~~,~~~~~~~~~~~~~,
hideCursor,Click to hide the cursor in the screen,
useCustomCursor,Click to use a customized cursor,
cursor,Choose a 2D image as your cursor,
cursorLockMode,Choose the locking mode of your cursor,
xrDistance,This is the screen Distance,
xrScale,This is the xr scale,
InteractionHandAttachTo,This is the hand for which the interaction is attached to,
rayMaterial,This is the interaction ray material,
rayWidth,This is the interaction ray width,
validTargetLineColor,This is the valid ray color,
invalidTargetLineColor,This is the invalid ray color,
canvasIsValid,Click if the canvas is valid,
hapticOnSelect,Click to select haptic feedback,
hapticSelectIntensity,Set the intensity of the haptic,
hapticSelectDuration,Set the duration of the haptic,
hapticOnHover,Click to set hover haptic feedback,
hapticHoverIntensity,Set the intensity of the hover haptic??,
hapticHoverDuration,Set the duration of the hover haptic??,
~~~~~~~~~~~~~~,~~~~~~~~~~~~~,
END,CONDITIONS,
~~~~~~~~~~~~~~,~~~~~~~~~~~~~,
TimedElement,Click to make this a timed Screen,
~~~~~~~~~~~~~~~~~~~~~~~~~~,~~~~~~~~~~~~~~~~~~~~~~~~~~,
ENVIRONMENT ELEMENTS,TOOLTIPS,
~~~~~~~~~~~~~~~~~~~~~~~~~~,~~~~~~~~~~~~~~~~~~~~~~~~~~,
StartingPropertyValues,Set starting Property values,
Scenescape,Add a Scenescape to create 3D environment tasks. Scenescapes are the static portion of a 3D environment task.,
ResponsiveObjects,Add Responsive Objects to create dynamic 3D tasks. ,
VisualPerspective,Customize the participant's perspective when using 3D elements. ,
HUD,Create a heads-up-display (HUD) by adding Text/Images/Video/Buttons/Text Input/Range/Checkbox/Dropdown. Text and Image HUD objects can also be used to dynamically display Global and Responsive Object Properties.,
~~~~~~~~~~~~~~,~~~~~~~~~~~~~,
VISUAL,PERSPECTIVE,
~~~~~~~~~~~~~~,~~~~~~~~~~~~~,
VisualPerspective,Experimenter tooltip,
Perspective,Select/Create a visual perspective for this environment,
TargetType,Select this visual perspective's target type,
TargetObject,Select which Responsive Object is the visual perspective being added on,
CustomRenderDistance,Customize the distance of view,
RenderDistance,Change the distance of view (larger -> see further),
CustomFieldOfView,Customize the field of view,
FieldOfView,Change the field of view,
CameraPosition,Drag to move the camera,
CameraRotation,Drag to rotate the camera,
FollowTarget,Click to have the camera always follow the target,
TrackXPosition,Have the camera move in the same direction as the target when it moves along the x axis,
TrackYPosition,Have the camera move in the same direction as the target when it moves along the y axis,
TrackZPosition,Have the camera move in the same direction as the target when it moves along the z axis,
LookAtTarget,Click to have the camera always look at the target,
TrackXRotation,Have the camera rotate in the same direction as the target rotates around the x axis,
TrackYRotation,Have the camera rotate in the same direction as the target rotates around the y axis,
TrackZRotation,Have the camera rotate in the same direction as the target rotates around the z axis,
~~~~~~~~~~~~~~,~~~~~~~~~~~~~,
HEADS-UP,DISPLAY,
~~~~~~~~~~~~~~,~~~~~~~~~~~~~,
XRDistance, Adjust the XR Distance,
~~~~~~~~~~~~~~,~~~~~~~~~~~~~,
END,CONDITIONS,
~~~~~~~~~~~~~~,~~~~~~~~~~~~~,
Timer, Click to make this a timed Environment,
Time(ms), Specify how much time (in milliseconds) this element lasts ,
~~~~~~~~~~~~~~~~~~~~~~~~~~,~~~~~~~~~~~~~~~~~~~~~~~~~~,
RESPONSIVE OBJECT ELEMENTS,TOOLTIPS,
~~~~~~~~~~~~~~~~~~~~~~~~~~,~~~~~~~~~~~~~~~~~~~~~~~~~~,
responseObj,Experimenter tooltip,
responseSeq,Experimenter tooltip,
Characteristics,Object Characteristics allow you to change how the object will appear and interact with the environment and other objects. Assign a tag to the Responsive Object for interaction responses with other Responsive Objects. Add Object Properties to track custom variables and create property exchanges with other Responsive objects. A unique Object Property instance is created for each Responsive Object in an environment.  ,
InputResponseMaps,Add Input-Response maps that allow the object to be controlled using Keyboard & Mouse and/or Gamepads and/or XR Controllers. Responsive Objects can have multiple types of Input-Response Maps allowing them to be controlled by multiple input devices; a feature that allows for plug-and-play input,
InteractionResponses,Interaction Responses allow the object to respond in a variety of ways when another object comes within a certain range. On Connection Responses are executed once when an object with the define tag(s) gets within the define range. While Connected Responses are executed once per frame while the other object is within the define range. On Disconnection Responses are executed once when an object leaves the defined range.,
PropertyResponses,"Property Responses monitor the defined property and responses are executed when the Property Condition is met. If the Property Condition become unmet, the Responses will execute again if the condition is met once again.",
MachineLearning,Machine Learning allows the Responsive Object to be controlled via the Python API by defining the state observations that will be sent to your custom python scirpt each frame and the Machine Learning Action-Space allows you to define what actions are available to relay back to the Responsive object. This allows experiments to be transformed into AI gyms that can be used to reinforcement learning models.,
~~~~~~~~~~~~~~,~~~~~~~~~~~~~,
APPEARANCE,PHYSICAL ATTRIBUTES,
~~~~~~~~~~~~~~,~~~~~~~~~~~~~,
Tag,Tags are used to group certain Responsive Objects together for easy identification,
AvatarType,Choose an avatar type,
Prefab,Choose a prefab (pre-made GameObjects from your assets folder) ,
addForwardFacingLine,Allows you to see which direction the Responsive Object is facing,
Image,Choose any image from your assets folder,
ImageScale,Drag to change the scale of the image,
ImageColor,Select the color of the image,
ImageBackground,Select the background color of the image,
GizmoColor,Select a color for the gizmo of this Responsive Object,
CustomSize,Check to customize the size of this Responsive Object,
UseGravity,Check to allow this Responsive Object to abide by the laws of gravity,
Mass,Specify this Responsive Object's body mass,
SlopeLimit,Specify the maximum slope this Responsive Object can climb up ,
StepOffset,Specify the maximum step height this Responsive Object can take,
ForwardBackward,Using Input-Response maps, Responsive objects have the ability to pickup and drop other responsive objects. The held object offset lets you adjust the relative position between the Responsive Object and the object it is holding. You can adjust the held offset when the Responsive Object is holding another object in Run Mode making it easy to find the best setting.
~~~~~~~~~~~~~~,~~~~~~~~~~~~~,
INPUT,RESPONSES,
~~~~~~~~~~~~~~,~~~~~~~~~~~~~,
Keyboard/Mouse,Movement controls are done through the keyboard and the mouse,
Gamepad,Movement controls are done through gamepads,
XRControllers,Movement controls are done through XRControllers,
Map,Select or Create a mapping system that connects keys/button with movement options,
~~~~~~~~~~~~~~,~~~~~~~~~~~~~,
MACHINE,LEARNING,
~~~~~~~~~~~~~~,~~~~~~~~~~~~~,
UseMachineLearning, Check to use machine learning,
AgentMode,Select a mode for the agent,
BehaviourName,Name this behaviour,
RewardProperty,Select a Property to record the reward,
Parameters,Specify the parameters (YAML),
NeuralNetwork,Select the neural network model,
ActionResponseMap,Select/Create a action-response map,
ActionSpaceType,Specify the action space type,
ObservationSpace,This is the Observation Space,
~~~~~~~~~~~~~~~~~~~~~~~~~~,~~~~~~~~~~~~~~~~~~~~~~~~~~,
SCENESCAPE ELEMENTS,TOOLTIPS,
~~~~~~~~~~~~~~~~~~~~~~~~~~,~~~~~~~~~~~~~~~~~~~~~~~~~~,
scenescape,Experimenter tooltip,
ScenescapeObjects,"Create Scenescape by adding single objects, or multiple of the same object within a defined area. When adding multiple objects you can define the minimum distance (padding) between them and randomize their features; a feature which for example allows you quickly create forests and other natural characteristics. Scenescapes can also contain other Scenescapes; a feature which allows you to quickly rearange large sections of an environment relative to one another. Use the Group feature when you wish to counterbalance object-location placementments.",
ScenescapeAudio,Add audio to different areas of your Scenescape scapes to create multimodel contextual boundaries or to enhance emersion. Audio range dictates the area the audio can be heard in and audio fade allows the volume of the audio to increase/decrease the closer/further the participant gets to the center of the audio placement.,
Property,This is a property,
~~~~~~~~~~~~~~~~~~~~~~~~~~,~~~~~~~~~~~~~~~~~~~~~~~~~~,
DATA VIEWER,TOOLTIPS,
~~~~~~~~~~~~~~~~~~~~~~~~~~,~~~~~~~~~~~~~~~~~~~~~~~~~~,
propertyData,Experimenter tooltip,
objectData,Experimenter tooltip,
agentData,Experimenter tooltip,
refreshData,Experimenter tooltip,
expandAll,Experimenter tooltip,
collapseAll,Experimenter tooltip,
~~~~~~~~~~~~~~~~~~~~~~~~~~,~~~~~~~~~~~~~~~~~~~~~~~~~~,
EXPERIMENT SETTINGS,TOOLTIPS,
~~~~~~~~~~~~~~~~~~~~~~~~~~,~~~~~~~~~~~~~~~~~~~~~~~~~~,
experimentSettings,Experimenter tooltip,
~~~~~~~~~~~~~~~~~~~~~~~~~~,~~~~~~~~~~~~~~~~~~~~~~~~~~,
EXPERIMENT VIEWER,TOOLTIPS,
~~~~~~~~~~~~~~~~~~~~~~~~~~,~~~~~~~~~~~~~~~~~~~~~~~~~~,
createNewElement,Experimenter tooltip,
taskEpoch,Experimenter tooltip,
globalProperty,Experimenter tooltip,
objectProperty,Experimenter tooltip,
keyboardMap,Experimenter tooltip,
gamepadMap,Experimenter tooltip,
xrMap,Experimenter tooltip,
agentMap,Experimenter tooltip,
addAnElementFromAnotherExperiment,Experimenter tooltip,
allElements,Experimenter tooltip,
openElement,Experimenter tooltip,
